iter	Passed	Remaining
0	146	146636
1	147	73587
2	148	49230
3	148	37044
4	149	29729
5	150	24853
6	150	21396
7	151	18792
8	152	16769
9	152	15140
10	153	13805
11	154	12693
12	154	11753
13	155	10946
14	156	10245
15	156	9636
16	157	9100
17	157	8617
18	158	8184
19	159	7794
20	159	7443
21	160	7123
22	160	6830
23	161	6563
24	161	6316
25	162	6088
26	163	5881
27	163	5686
28	164	5504
29	164	5332
30	165	5172
31	166	5022
32	166	4881
33	167	4748
34	167	4623
35	168	4505
36	168	4393
37	169	4293
38	170	4194
39	170	4099
40	171	4008
41	172	3924
42	172	3842
43	173	3765
44	173	3690
45	174	3618
46	175	3550
47	175	3486
48	176	3424
49	177	3363
50	177	3306
51	178	3250
52	178	3196
53	179	3144
54	180	3093
55	180	3045
56	181	2998
57	181	2953
58	182	2910
59	183	2867
60	183	2826
61	184	2787
62	184	2748
63	185	2711
64	185	2675
65	186	2642
66	187	2608
67	188	2577
68	188	2546
69	189	2515
70	189	2485
71	190	2455
72	191	2426
73	191	2398
74	192	2370
75	192	2343
76	193	2316
77	193	2291
78	194	2267
79	195	2243
80	195	2220
81	196	2197
82	196	2172
83	197	2150
84	197	2128
85	198	2107
86	198	2087
87	199	2067
88	200	2048
89	200	2030
90	201	2013
91	202	1995
92	202	1977
93	203	1960
94	203	1942
95	204	1925
96	205	1908
97	205	1892
98	206	1875
99	206	1860
100	207	1846
101	208	1831
102	208	1817
103	209	1803
104	209	1789
105	210	1776
106	211	1762
107	211	1749
108	212	1735
109	213	1723
110	213	1711
111	214	1699
112	214	1687
113	215	1676
114	216	1664
115	216	1652
116	217	1639
117	217	1628
118	218	1616
119	218	1605
120	219	1595
121	220	1584
122	220	1573
123	221	1563
124	221	1552
125	222	1542
126	222	1531
127	223	1521
128	223	1511
129	224	1502
130	225	1492
131	225	1484
132	226	1475
133	226	1466
134	227	1457
135	228	1449
136	228	1440
137	229	1432
138	229	1423
139	230	1415
140	230	1407
141	231	1397
142	232	1391
143	232	1383
144	233	1376
145	233	1368
146	234	1360
147	235	1353
148	235	1345
149	236	1338
150	236	1330
151	237	1323
152	237	1317
153	238	1310
154	239	1304
155	239	1297
156	240	1290
157	240	1283
158	241	1276
159	241	1270
160	242	1263
161	242	1256
162	243	1250
163	244	1245
164	244	1239
165	245	1233
166	246	1227
167	246	1221
168	247	1215
169	247	1209
170	248	1204
171	248	1198
172	249	1192
173	250	1187
174	250	1181
175	251	1176
176	251	1171
177	252	1166
178	253	1160
179	253	1155
180	254	1149
181	254	1144
182	255	1139
183	255	1134
184	256	1129
185	257	1124
186	257	1120
187	258	1115
188	258	1110
189	259	1106
190	260	1101
191	260	1096
192	261	1092
193	261	1087
194	262	1082
195	262	1078
196	263	1074
197	264	1070
198	264	1065
199	265	1061
200	265	1056
201	266	1052
202	266	1048
